ДАТА,КОД,ПОЗНАЧЕННЯ,ОБЄДНАННЯ,ВАЛЮТА,КУРС
04.03.2024,348,HUF,100,Форинт,"10,4843"
04.03.2024,826,GBP,1,Фунт стерлінгів,"48,1929"
04.03.2024,203,CZK,1,Чеська крона,"1,6287"
04.03.2024,752,SEK,1,Шведська крона,"3,6871"
04.03.2024,756,CHF,1,Швейцарський франк,"43,0744"
04.03.2024,156,CNY,1,Юань Женьміньбі,"5,3008"
05.03.2024,036,AUD,1,Австралійський долар,"24,9804"
05.03.2024,944,AZN,1,Азербайджанський манат,"22,5506"
05.03.2024,933,BYN,1,Білоруський рубль,"13,9261"
05.03.2024,975,BGN,1,Болгарський лев,"21,2404"
05.03.2024,410,KRW,100,Вона,"2,8775"
05.03.2024,344,HKD,1,Гонконгівський долар,"4,8968"
05.03.2024,208,DKK,1,Данська крона,"5,5736"
05.03.2024,840,USD,1,Долар США,"38,3135"
05.03.2024,978,EUR,1,Євро,"41,5433"
05.03.2024,818,EGP,1,Єгипетський фунт,"1,2402"
05.03.2024,392,JPY,10,Єна,"2,5469"
05.03.2024,985,PLN,1,Злотий,"9,6152"
05.03.2024,356,INR,10,Індійська рупія,"4,6218"
05.03.2024,124,CAD,1,Канадський долар,"28,2340"
05.03.2024,484,MXN,1,Мексиканське песо,"2,2523"
05.03.2024,498,MDL,1,Молдовський лей,"2,1561"
05.03.2024,376,ILS,1,Новий ізраїльський шекель,"10,7264"
05.03.2024,554,NZD,1,Новозеландський долар,"23,3674"
05.03.2024,578,NOK,1,Норвезька крона,"3,6346"
05.03.2024,710,ZAR,1,Ренд,"2,0152"
05.03.2024,643,RUB,10,Російський рубль,"4,1989"
05.03.2024,946,RON,1,Румунський лей,"8,3575"
05.03.2024,360,IDR,1000,Рупія,"2,4338"
05.03.2024,702,SGD,1,Сінгапурський долар,"28,5240"
05.03.2024,960,XDR,1,СПЗ (спеціальні права запозичення),"50,8822"
05.03.2024,398,KZT,100,Теньге,"8,4727"
05.03.2024,949,TRY,1,Турецька ліра,"1,2153"
05.03.2024,348,HUF,100,Форинт,"10,5092"
05.03.2024,826,GBP,1,Фунт стерлінгів,"48,5624"
05.03.2024,203,CZK,1,Чеська крона,"1,6392"
05.03.2024,752,SEK,1,Шведська крона,"3,6982"
05.03.2024,756,CHF,1,Швейцарський франк,"43,2872"
05.03.2024,156,CNY,1,Юань Женьміньбі,"5,3217"
06.03.2024,036,AUD,1,Австралійський долар,"24,9141"
06.03.2024,944,AZN,1,Азербайджанський манат,"22,5982"
06.03.2024,933,BYN,1,Білоруський рубль,"13,9555"
06.03.2024,975,BGN,1,Болгарський лев,"21,2959"
06.03.2024,410,KRW,100,Вона,"2,8772"
06.03.2024,344,HKD,1,Гонконгівський долар,"4,9078"
06.03.2024,208,DKK,1,Данська крона,"5,5872"
06.03.2024,840,USD,1,Долар США,"38,3943"
06.03.2024,978,EUR,1,Євро,"41,6463"
06.03.2024,818,EGP,1,Єгипетський фунт,"1,2432"
06.03.2024,392,JPY,10,Єна,"2,5528"
06.03.2024,985,PLN,1,Злотий,"9,6311"
06.03.2024,356,INR,10,Індійська рупія,"4,6316"
06.03.2024,124,CAD,1,Канадський долар,"28,2394"
06.03.2024,484,MXN,1,Мексиканське песо,"2,2634"
06.03.2024,498,MDL,1,Молдовський лей,"2,1612"
06.03.2024,376,ILS,1,Новий ізраїльський шекель,"10,6719"
06.03.2024,554,NZD,1,Новозеландський долар,"23,3322"
06.03.2024,578,NOK,1,Норвезька крона,"3,6296"
06.03.2024,710,ZAR,1,Ренд,"2,0215"
06.03.2024,643,RUB,10,Російський рубль,"4,2201"
06.03.2024,946,RON,1,Румунський лей,"8,3768"
06.03.2024,360,IDR,1000,Рупія,"2,4333"
06.03.2024,702,SGD,1,Сінгапурський долар,"28,5651"
06.03.2024,960,XDR,1,СПЗ (спеціальні права запозичення),"50,9981"
06.03.2024,398,KZT,100,Теньге,"8,5682"
06.03.2024,949,TRY,1,Турецька ліра,"1,2129"
06.03.2024,348,HUF,100,Форинт,"10,5219"
06.03.2024,826,GBP,1,Фунт стерлінгів,"48,6878"
06.03.2024,203,CZK,1,Чеська крона,"1,6426"
06.03.2024,752,SEK,1,Шведська крона,"3,6919"
06.03.2024,756,CHF,1,Швейцарський франк,"43,3198"
06.03.2024,156,CNY,1,Юань Женьміньбі,"5,3332"
07.03.2024,036,AUD,1,Австралійський долар,"24,9535"
07.03.2024,944,AZN,1,Азербайджанський манат,"22,5242"
07.03.2024,933,BYN,1,Білоруський рубль,"13,9090"
07.03.2024,975,BGN,1,Болгарський лев,"21,2650"
07.03.2024,410,KRW,100,Вона,"2,8682"
07.03.2024,344,HKD,1,Гонконгівський долар,"4,8903"
07.03.2024,208,DKK,1,Данська крона,"5,5793"
07.03.2024,840,USD,1,Долар США,"38,2664"
07.03.2024,978,EUR,1,Євро,"41,5918"
07.03.2024,818,EGP,1,Єгипетський фунт,"0,7630"
07.03.2024,392,JPY,10,Єна,"2,5577"
07.03.2024,985,PLN,1,Злотий,"9,6774"
07.03.2024,356,INR,10,Індійська рупія,"4,6197"
07.03.2024,124,CAD,1,Канадський долар,"28,1661"
07.03.2024,484,MXN,1,Мексиканське песо,"2,2655"
07.03.2024,498,MDL,1,Молдовський лей,"2,1571"
07.03.2024,376,ILS,1,Новий ізраїльський шекель,"10,6092"
07.03.2024,554,NZD,1,Новозеландський долар,"23,3463"
07.03.2024,578,NOK,1,Норвезька крона,"3,6240"
07.03.2024,710,ZAR,1,Ренд,"2,0248"
07.03.2024,643,RUB,10,Російський рубль,"4,2242"
07.03.2024,946,RON,1,Румунський лей,"8,3695"
07.03.2024,360,IDR,1000,Рупія,"2,4352"
07.03.2024,702,SGD,1,Сінгапурський долар,"28,5336"
07.03.2024,960,XDR,1,СПЗ (спеціальні права запозичення),"50,8860"
07.03.2024,398,KZT,100,Теньге,"8,5462"
07.03.2024,949,TRY,1,Турецька ліра,"1,2055"
07.03.2024,348,HUF,100,Форинт,"10,5811"
07.03.2024,826,GBP,1,Фунт стерлінгів,"48,6270"
07.03.2024,203,CZK,1,Чеська крона,"1,6407"
07.03.2024,752,SEK,1,Шведська крона,"3,6967"
07.03.2024,756,CHF,1,Швейцарський франк,"43,2438"
07.03.2024,156,CNY,1,Юань Женьміньбі,"5,3154"
